Price,Model,km_driven,Fuel,Owner,Year,Company
1039000,KIA CARENSPRESTIGE 1.4,38630,Petrol,1,2022,KIA
559000,Maruti BalenoZETA PETROL,53588,Petrol,1,2020,Maruti
495000,Tata TiagoXT PETROL,57968,CNG,1,2022,Tata
320000,Hyundai Grand i10MAGNA,54013,Petrol,2,2016,Hyundai
755000,Tata ALTROZXZ DIESEL,23913,Diesel,1,2022,Tata
480000,Maruti DzireVXI,74233,Petrol,2,2018,Maruti
897000,Maruti ErtigaZXI+ SHVS,39676,Petrol,1,2020,Maruti
310000,Renault KwidRXL,25219,Petrol,1,2019,Renault
308000,Maruti AltoVXI,44379,Petrol,1,2019,Maruti
434999,Ford EcosportTREND+ 1.5L,58913,Diesel,2,2017,Ford
583000,Hyundai NEW I20MAGNA,52038,Petrol,1,2021,Hyundai
550000,Maruti SwiftVXI,37020,Petrol,1,2020,Maruti
462000,Maruti New Wagon-RZXI,41348,Petrol,1,2022,Maruti
819999,Honda City1.5L I-VTEC,24828,Petrol,2,2019,Honda
345000,Hyundai Grand i10SPORTZ,63334,Petrol,1,2014,Hyundai
518000,Maruti New Wagon-RLXI,51598,CNG,1,2021,Maruti
515000,Honda City1.5L I-VTEC,91492,Petrol,2,2015,Honda
675000,Maruti ErtigaVDI SHVS,97883,Diesel,1,2017,Maruti
437000,Hyundai NEW SANTROMAGNA,78522,CNG,1,2019,Hyundai
487000,Tata NEXONXM PETROL,82620,Petrol,2,2018,Tata
364000,Maruti IGNISDELTA 1.2,32591,Petrol,1,2017,Maruti
463000,Maruti SwiftVDI,79461,Diesel,2,2016,Maruti
530000,Maruti New Wagon-RLXI,46160,CNG,1,2022,Maruti
535000,Maruti CiazDELTA 1.4,75679,Petrol,1,2018,Maruti
1285000,Hyundai CretaSX 1.5,55046,Diesel,1,2020,Hyundai
590000,Tata ALTROZXM PLUS,15842,Petrol,1,2022,Tata
1326000,Toyota Fortuner3.0 4X2,87550,Diesel,1,2016,Toyota
676000,Renault Duster85 PS,72029,Diesel,2,2017,Renault
318000,Maruti Alto K10VXI,65574,Petrol,3,2016,Maruti
559000,Renault TRIBERRXL MT,54414,Petrol,1,2021,Renault
630000,Volkswagen AmeoHIGHLINE PLUS,63883,Diesel,2,2018,Volkswagen
1620000,Tata HarrierXT PLUS,49190,Diesel,1,2022,Tata
397000,Maruti CelerioZXI,38004,Petrol,2,2017,Maruti
885000,Tata NEXONXZA PLUS,45237,Petrol,1,2020,Tata
397000,Datsun Redi GoT(O),20808,Petrol,1,2021,Datsun
925000,Honda City1.5L I-VTEC,25751,Petrol,1,2018,Honda
1130000,Hyundai VENUESX 1.0,6278,Petrol,1,2023,Hyundai
423000,Maruti Wagon R,44158,Petrol,2,2017,Maruti
980000,Honda City1.5L I-VTEC,34455,Petrol,1,2019,Honda
1100000,Hyundai CretaSX AT,28632,Petrol,2,2019,Hyundai
290000,Datsun Redi GoT(O),15881,Petrol,2,2019,Datsun
1469000,KIA CARENSLUXURY 1.4,11437,Petrol,1,2022,KIA
